City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,raduzhny,62.0961,77.475,10.82,50,97,5.37,RU,1686441358
84,homer,59.6425,-151.5483,12.67,58,100,4.12,US,1686441139
85,aripuana,-9.1667,-60.6333,26.88,65,46,0.21,BR,1686441358
86,port blair,11.6667,92.75,28.02,83,75,5.14,IN,1686441358
87,puerto natales,-51.7236,-72.4875,4.85,89,72,8.43,CL,1686441030
88,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.05,73,94,6.62,RU,1686441358
89,n'zeto,-7.2312,12.8666,22.13,91,35,3.18,AO,1686441359
90,georgetown,5.4112,100.3354,27.79,86,40,1.03,MY,1686440819
91,arraial do cabo,-22.9661,-42.0278,22.17,81,0,3.49,BR,1686441083
92,iqaluit,63.7506,-68.5145,2.85,75,75,7.2,CA,1686441030
93,saint-joseph,-21.3667,55.6167,20.26,80,28,4.56,RE,1686441359
94,ushuaia,-54.8,-68.3,2.81,75,75,14.4,AR,1686441033
95,uturoa,-16.7333,-151.4333,27.1,66,77,5.95,PF,1686441039
96,kolwezi,-10.7148,25.4667,14.35,57,9,1.95,CD,1686441359
97,port alfred,-33.5906,26.891,14.13,69,0,5.31,ZA,1686441048
98,paysandu,-32.3214,-58.0756,10.34,40,58,3.03,UY,1686441359
99,ribeira grande,38.5167,-28.7,16.54,78,32,1.34,PT,1686441065
100,sakit,27.45,78.8167,32.68,32,22,2.89,IN,1686441360
101,puerto ayora,-0.7393,-90.3518,26.42,91,84,4.02,EC,1686441037
102,new norfolk,-42.7826,147.0587,13.72,77,95,2.08,AU,1686441104
103,jiayuguan,39.8167,98.3,23.51,20,50,1.79,CN,1686441360
104,chabahar,25.2919,60.643,28.6,81,49,3.35,IR,1686441300
105,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1686440773
106,anshing,20.0333,77.3167,28.42,56,38,4.44,IN,1686441360
107,vadso,70.0744,29.7487,7.49,87,100,5.14,NO,1686441038
108,saint-pierre,-21.3393,55.4781,20.87,73,0,2.06,RE,1686441360
109,khyzy,40.9058,49.0813,18.95,53,94,4.22,AZ,1686441361
110,badger,64.8,-147.5333,21.4,41,40,3.6,US,1686441040
111,shingu,33.7333,135.9833,20.16,98,100,2.27,JP,1686441361
112,udachny,66.4167,112.4,6.92,100,98,7.31,RU,1686441046
113,howard springs,-12.497,131.047,24.95,53,6,4.92,AU,1686441068
114,kingston,17.997,-76.7936,29.56,74,20,8.75,JM,1686441065
115,salalah,17.0151,54.0924,29.05,89,75,1.03,OM,1686440813
116,comodoro rivadavia,-45.8667,-67.5,4.92,45,0,2.06,AR,1686441361
117,muang xay,20.7,101.9833,21.76,95,99,0.16,LA,1686441361
118,coquimbo,-29.9533,-71.3436,13.85,82,0,4.12,CL,1686440835
119,isla mujeres,21.2311,-86.731,27.87,81,48,3.31,MX,1686441033
120,bakanas,44.8081,76.2772,21.62,63,92,5.72,KZ,1686441362
121,cururupu,-1.8283,-44.8683,23.37,98,14,1.36,BR,1686440825
122,nar'yan-mar,67.6713,53.087,2.44,80,36,8.01,RU,1686441036
123,egilsstadir,65.2653,-14.3948,5.95,87,40,0.51,IS,1686441063
124,burang,30.25,81.1667,3.88,83,50,0.66,CN,1686441362
125,dera bugti,29.0307,69.151,31.03,39,39,1.31,PK,1686441362
126,invercargill,-46.4,168.35,9.19,91,88,2.71,NZ,1686440862
127,nikolayevsk-on-amure,53.1406,140.73,13.45,97,100,0.61,RU,1686441074
128,pechora,65.1472,57.2244,0.93,98,100,5.83,RU,1686441362
129,caburan,5.9181,125.6411,29.06,67,91,2.43,PH,1686441363
130,margaret river,-33.95,115.0667,13.4,61,100,10.3,AU,1686441043
131,kalmunai,7.4167,81.8167,26.68,79,98,2.41,LK,1686441084
132,soio,-6.1349,12.3689,23.17,88,50,3.32,AO,1686441363
133,sirte,31.2089,16.5887,23.63,60,83,5.09,LY,1686441363
134,broken hill,-31.95,141.4333,12.69,56,0,4.18,AU,1686441363
135,jamestown,42.097,-79.2353,22.8,43,20,3.6,US,1686441047
136,chimoio,-19.1164,33.4833,17.92,88,20,1.67,MZ,1686441363
137,igarka,67.4667,86.5833,7.25,49,7,2.16,RU,1686441098
138,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,34,20,5.0,RU,1686441054
139,vorgashor,67.5833,63.95,7.95,86,83,2.62,RU,1686441037
140,christchurch,-43.5333,172.6333,11.62,78,12,2.24,NZ,1686441113
141,tolanaro,-25.0319,46.9987,19.04,94,0,1.03,MG,1686441041
142,kiama,-34.6833,150.8667,14.21,69,0,0.45,AU,1686440974
143,albany,42.6001,-73.9662,19.54,77,78,1.81,US,1686440733
144,saipan,15.1355,145.701,29.8,100,40,4.63,MP,1686441088
145,iluppur,10.5135,78.6236,27.64,60,77,4.67,IN,1686441365
146,camiri,-20.05,-63.5167,19.56,80,0,0.51,BO,1686441365
147,piranhas,-16.4269,-51.8222,23.73,50,14,0.89,BR,1686441365
148,dudinka,69.4058,86.1778,5.9,47,55,3.79,RU,1686441035
149,karratha,-20.7377,116.8463,21.5,45,59,1.87,AU,1686441365
150,hithadhoo,-0.6,73.0833,28.15,76,28,2.75,MV,1686441365
151,antsohihy,-14.8796,47.9875,18.46,73,1,1.46,MG,1686441365
152,bredasdorp,-34.5322,20.0403,10.7,81,10,1.94,ZA,1686441042
153,papatowai,-46.5619,169.4708,8.33,85,95,1.43,NZ,1686441031
154,grande prairie,55.1667,-118.8027,25.1,41,0,7.72,CA,1686441130
155,kavieng,-2.5744,150.7967,28.63,76,80,5.18,PG,1686441366
156,olonkinbyen,70.9221,-8.7187,0.6,88,92,7.53,SJ,1686441043
157,arar,30.9753,41.0381,26.01,44,6,5.14,SA,1686441366
158,kodinsk,58.6881,99.1844,13.56,62,87,4.74,RU,1686441105
159,klyuchi,52.2667,79.1667,13.6,74,1,2.13,RU,1686441057
160,san antonio de pale,-1.4014,5.6325,25.09,81,100,4.6,GQ,1686441068
161,seydi,39.4816,62.9137,26.0,23,19,7.91,TM,1686441366
162,lucapa,-8.4192,20.7447,24.29,45,100,1.53,AO,1686441367
163,stephenville,32.2207,-98.2023,36.76,48,75,8.23,US,1686441367
164,iskateley,67.6803,53.1512,2.39,80,36,8.01,RU,1686441034
165,itoman,26.1247,127.6694,29.21,87,75,3.6,JP,1686441367
166,berezovyy,51.6667,135.7,22.78,60,50,1.39,RU,1686441091
167,bardai,11.65,7.2333,25.2,68,93,3.89,NG,1686441074
168,san pedro pochutla,15.7333,-96.4667,32.06,65,91,2.39,MX,1686441157
169,afaahiti,-17.75,-149.2833,26.93,69,66,6.0,PF,1686441043
170,saint-philippe,-21.3585,55.7679,20.77,81,46,5.55,RE,1686441043
171,kachug,53.9606,105.8817,22.28,55,98,0.91,RU,1686441367
172,gebeit,21.0667,36.3167,32.32,22,91,0.76,SD,1686441368
173,utrik,11.2278,169.8474,27.73,82,97,7.42,MH,1686441041
174,mizan teferi,6.9833,35.5833,16.03,96,84,0.97,ET,1686441368
175,pingliang,35.5392,106.6861,24.58,38,100,2.1,CN,1686441053
176,wenzhou,27.9994,120.6668,28.04,70,85,1.07,CN,1686441368
177,flying fish cove,-10.4217,105.6791,24.82,94,100,5.14,CX,1686441086
178,hawaiian paradise park,19.5933,-154.9731,28.35,68,20,5.14,US,1686441070
179,alofi,-19.0595,-169.9187,24.94,88,27,4.63,NU,1686441035
180,fortuna,40.5982,-124.1573,15.52,86,75,6.17,US,1686441105
181,muang khong,14.1167,105.85,24.08,97,100,0.48,LA,1686441368
182,ilulissat,69.2167,-51.1,1.01,93,100,5.14,GL,1686441057
183,palmer,42.1584,-72.3287,21.78,58,100,3.6,US,1686441228
184,waingapu,-9.6567,120.2641,26.76,78,54,7.12,ID,1686441369
185,isafjordur,66.0755,-23.124,6.52,73,23,5.46,IS,1686441065
186,onega,63.9061,38.1404,3.04,77,45,1.7,RU,1686441369
187,thompson,55.7435,-97.8558,24.09,25,20,4.63,CA,1686441029
188,port augusta,-32.5,137.7667,14.12,54,0,3.19,AU,1686441369
